CODIGO NNM,DESCRIPCION NNM,Codigo SOM,DESCRIPCIÓN SOM
310115,CAUTERIZACION DE NARIZ.                           ,1-310115,CAUTERIZACION DE NARIZ.                               
310118,LARINGOSCOPIA DIRECTA.                            ,1-310118,LARINGOSCOPIA DIRECTA.                                
310120,"EXTRACCION DE CALCULO SALIVAL SIN INCISION. CATETERIZACION, DILATACION DEL CONDUCTO SALIVAL                    ",1-310120,EXTRACCION DE CALCULO SALIVAL                         
310121,INYECCION DE SUSTANCIA RADIOPACA PARA BRONCOGRAFIA             ,1-310121,INYECCION DE SUSTANCIA RADIOPACA                      
310122,OTOMICROSCOPIA.                                   ,1-310122,OTOMICROSCOPIA.                                       
310123,RINO-SINUSOFIBROSCOPIA               ,7-310123,RINOSINUSO FIBROSCOPIA DIAGNOSTICA                    
,,,
310124,FARINGOLARINGOFIBROSCOPIA                         ,7-310124,FARINGOLARINGOFIBROSCOPIA                             
,310124,7-317041,EVALUACION OBJETIVA DE LA VOZ POR COMPUTADORA     
310125,TRATAMIENTO DE LESIONES OTORRINOLARINGOLOGICAS POR MEDIOS FISICOS O QUIMICOS,7-310125,TRATAMIENTO DE LESIONES OTORRINOLARINGOLOGICAS POR    
310125,TRATAMIENTO DE LESIONES OTORRINOLARINGOLOGICAS POR MEDIOS FISICOS O QUIMICOS,1-310108,INSUFLACION DE TROMPAS DE EUSTAQUIO
310125,TRATAMIENTO DE LESIONES OTORRINOLARINGOLOGICAS POR MEDIOS FISICOS O QUIMICOS,1-310116,LAVAJE DE SENO PARANASAL UNI/BILATER              
310125,TRATAMIENTO DE LESIONES OTORRINOLARINGOLOGICAS POR MEDIOS FISICOS O QUIMICOS,1-310117,LARINGOSCOPIA INDIRECTA DIAGNOSTICA.              
,310125,7-315042,MODULO EXAMEN OTORRINOLARINGOLOGO                 
,310125,7-317001,MODULO  201  ORL                                  
,310125,7-317002,MODULO  202  ORL                                  
,310125,7-317003,MODULO  203  ORL                                  
,310125,7-317004,MODULO  204  ORL                                  
,310125,7-317005,MODULO 205 ORL                                    
,310125,7-317006,MODULO  207  ORL                                  
,310125,7-317029,SIGNO GLOMICO                                     
,310125,7-317048,HISTAMINOTERAPIA(POR SESION) NO INCL: MED.NI DESC 
,310125,7-319002,EPISTAXIS - TRATAMIENTO ENDOVASCULAR -            
,310125,7-317047,REHABILITACION VESTIBULAR (POR SESION)            
310126,VIDEO RINOFIBROLARINGOSCOPIA,7-317007,FIBROSCOPIA NASAL CON TOMA DE BIOPSIA                 
,310126,7-319007,VIDEOTORRINOLARINGOSCOPIA DIAGNOSTICA             
310130,OTOEMISIONES ACUSTICAS                            ,7-319005,OTOEMISIONES ACUSTICAS                                
,310130,7-319004,EXAMEN OTONEUROLOGICO                             
310131,TIMPANOMETRÍA                                     ,7-317027,TIMPANOMETRÍA                                         
310132,ACUFENOMETRIA                                     ,7-315002,ACUFENOMETRIA                                         
310132,ACUFENOMETRIA                                     ,7-256004,FONOAUDIOLOGIA ESPECIAL
315004,CONTROL Y RENDIMIENTO DE PROTESIS EN OIDO (OTOAMPLIFONOS),7-317031,RENDIMIENTO DE PROTESIS (POR SESION)                  
,315004,7-317008,SELECCION Y RENDIMIENTO DE PROT. C/S RUIDO DE FOND
,315004,7-317009,SELECCION DE PROTESIS POR AUDIOMETRIA TONAL (X SES
,315004,7-317010,RENDIMIENTO DE PROTESIS P/ AUDIOMETRIA TONAL X SES
,315004,7-317011,SELECCION Y RENDIMIENTO DE PROTESIS POR A.T. X SES
,315004,7-317012,SELECCION DE PROTESIS POR A.T. POR JUEGO (X SESION
,315004,7-317013,RENDIMIENTO DE PROTESIS POR A.T. POR JUEGO (X SESI
,315004,7-317014,SELECCION Y RENDIMIENTO DE PROTESIS P/ A.T. P/JUEG
,315004,7-317018,CALIBRACION Y ADAPTACION DE PROTESIS ( 5 SESIONES)
,315004,7-317034,SELECC. Y RENDIM. DE PROT. C/S DISTANCIAS (X SESIO
315007,CALIBRACION Y CONTROL DE IMPLANTE COCLEAR                      ,7-315007,CALIBRACION IMPLANTE COCLEAR                          
,315007,7-317038,ESTIMULACION ELECTRICA DE PROMONTORIO COCLEAR     
,315007,7-317040,PROGRAMA PRE-IMPLANTE COCLEAR DE EVAL. Y ESTIMUL. 
,315007,7-317036,EVAL. FONOAUDIOLOGICA PRE-IMPLANTE COCLEAR (X SES)
,315007,7-319001,ELECTROCOCLEOGRAMA                                
315008,CALIBRACION DE AUDIFONOS (UNILATERAL),7-317015,SELECCION CON Y SIN RUIDO DE FONDO(POR SESION)        
,315008,7-317016,SELECCION CON Y SIN DISTANCIAS (POR SESION)       
,315008,7-317017,SELEC. CON Y SIN DISTANCIAS Y RUIDO DE FONDO X SES
315010,PRUEBA DEL REFLEJO ACÚSTICO (REFLEJO ESTAPEDIAL),7-317049,IMITANCIOMETRIA AUDIOMETRICA                          
315010,PRUEBA DEL REFLEJO ACÚSTICO (REFLEJO ESTAPEDIAL),7-315022,PRUEBAS DE INVESTIGACION VESTIBULAR               
315010,PRUEBA DEL REFLEJO ACÚSTICO (REFLEJO ESTAPEDIAL),7-299003,BERA
,315010,7-319003,ERA - BERA                                        
,315010,7-317026,SIMULACION O PRUEBA DE JUICIO (COMP. A.T. CONV-LOG
315012,PRUEBA DE FUNCION TUBARIA  (MEDICION DE PRESION DEL CAE)            ,7-319006,PRUEBA DE FUNCION TUBARIA                             
315023,TEST DE WEBER AUDIOMETRICO,,
315023,TEST DE WEBER AUDIOMETRICO,7-315023,WEBER AUDIOMETRICO
315028,VIDEOESTROBOSCOPÍA LARÍNGEA,,
315028,VIDEOESTROBOSCOPÍA LARÍNGEA,7-315028,VIDEO ESTROBOSCOPIA LARINGEA                      
315043,APLICACION DE DROGAS PARA TRATAMIENTO UNILATERAL EN OIDO MEDIO DE PERDIDA AUDITIVA SUBITA ,7-315043,APLICACION DE CORTICOIDE UNILATERAL                   
32.,32. PEDIATRIA,CELDA VACÍA,
320104,ATENCION RECIEN NACIDO NORMAL O PATOLOGICO  EN SALA DE PARTOS  ,1-320104,ATENCION RECIEN NACIDO NORMAL/PATOLOGICO              
34.,34. RADIOLOGIA,CELDA VACÍA,
34.01,RADIOSCOPIA,CELDA VACÍA,
340101,RADIOSCOPIA SIMPLE                                ,1-340101,RADIOSCOPIA SIMPLE                                    
340102,RADIOSCOPIA C/INTENSIFICADOR IMAGENE              ,1-340102,RADIOSCOPIA C/INTENSIFICADOR IMAGENE                  
340103,RADIOSCOPIA C/CIRCUITO CERRADO DE TV              ,1-340103,RADIOSCOPIA C/CIRCUITO CERRADO DE TV                  
34.02,APARATO ESQUELETICO,CELDA VACÍA,
340201,"RADIOGRAFIA DEL CRANEO, CARA, SENOS               ",1-340201,RADIOGRAFIA DEL CRANEO  CARA  SENOS                 
340202,RADIOGRAFIA CRANEO POR EXPOSICION SUBSIGUIENTE B  ,1-340202,RADIOGRAFIA CRANEO POR EXPOSICION SUBSIGUIENTE B      
340203,RADIOGRAFIA HUESO TEMPORAL O AGUJEROS OPTICOS     ,1-340203,RADIOGRAFIA HUESO TEMPORAL O AGUJEROS OPTICOS         
340204,RADIOLOGIA ARTICULACION TEMPOROMANDIBULAR         ,1-340204,RADIOLOGIA ARTICULACION TEMPOROMANDIBULAR             
340205,ORTOPANTOMOGRAFIA RADIOGR.PANORAMICA              ,1-340205,ORTOPANTOMOGRAFIA RADIOGR.PANORAMICA                  
340206,ORTOPANTOMOGRAFIA POR EXPOSICION SUBSIGUIENTE. I  ,1-340206,ORTOPANTOMOGRAFIA POR EXPOSICION SUBSIGUIENTE. I      
340207,TELERRADIOGRAFIA CRANEO Y/O PERFIL  FACIAL              ,1-340207,TELERRADIOGRAFIA CRANEO Y/O PERFIL                    
340208,TELERRADIOGRAFIA POR EXPOSICION SUBSIGUIENTE. G   ,1-340208,TELERRADIOGRAFIA POR EXPOSICION SUBSIGUIENTE. G       
340209,RADIOGRAFIA DE RAQUIS -COLUMNA-                   ,1-340209,RADIOGRAFIA DE RAQUIS -COLUMNA-                       
340210,RADIOGRAFIA RAQUIS POR EXPOSICION SUBSIGUIENTE. B ,1-340210,RADIOGRAFIA RAQUIS POR EXPOSICION SUBSIGUIENTE. B     
340211,"RADIOGRAFIA DE HOMBRO,HUMERO,PELVIS,              ",1-340211,RADIOGRAFIA DE HOMBRO HUMERO PELVIS                
340212,RADIOGRAFIA POR EXPOSICION SUBSIGUIENTE. A        ,1-340212,RADIOGRAFIA POR EXPOSICION SUBSIGUIENTE. A            
340213,"RADIOGRAFIA DE CODO,ANTEBRAZO,MUNECA,RODILLA,TOBIL",1-340213,RADIOGRAFIA DE CODO ANTEBRAZO MUNECA RODILLA TOBIL
340214,MEDICION COMPARATIVA DE MIEMBROS INF              ,1-340214,MEDICION COMPARATIVA DE MIEMBROS INF                  
340215,RADIOGRAFIA AMPLIADA O MACRORRADIOGRAFIA            ,1-340215,RADIOGRAFIA AMPLIADA O MACRORRADIOGR                  
340216,ARTROGRAFIA                                       ,1-340216,ARTROGRAFIA                                           
340217,ARTROGRAFIA POR EXPOSICION SUBSIGUIENTE. A        ,1-340217,ARTROGRAFIA POR EXPOSICION SUBSIGUIENTE. A            
340218,UNA PLACA -APICAL-. A                             ,1-340218,UNA PLACA -APICAL-. A                                 
340219,UNA PLACA -OCLUSAL-. A                            ,1-340219,UNA PLACA -OCLUSAL-. A                                
340220,SEMISERIADA HASTA 7 -SIETE- PLACAS.               ,1-340220,SEMISERIADA HASTA 7 -SIETE- PLACAS.                   
340221,SERIADA DE 7 -SIETE- A 14 -CATORCE-               ,1-340221,SERIADA DE 7 -SIETE- A 14 -CATORCE-                   
340222,ESPINOGRAMA COMPLETO,7-349002,ESPINOGRAMA COMPUTADO LUMBAR O CERVICAL               
340222,ESPINOGRAMA COMPLETO,1-345097,ESPINOGRAMA FRENTE Y PERFIL
,340222,7-349009,ESPINOGRAFIA                                      
34.03,APARATO RESPIRATORIO,CELDA VACÍA,
340301,RADIOGRAFIA/TELERRADIOGRAFIA TORAX                ,1-340301,RADIOGRAFIA/TELERRADIOGRAFIA TORAX                    
340302,RADIOGRAFIA TORAX POR EXPOSICION SUBSIGUIENTE. A  ,1-340302,RADIOGRAFIA TORAX POR EXPOSICION SUBSIGUIENTE. A      
340303,"BRONCOGRAFIA SIN ENDOSCOPIA,S/ANESTE              ",1-340303,BRONCOGRAFIA SIN ENDOSCOPIA S/ANESTE                 
340304,NEUMOMEODIASTINO.. FRENTE Y PERFIL -              ,1-340304,NEUMOMEODIASTINO.. FRENTE Y PERFIL -                  
34.04,"APARATO RESPIRATORIO, DIGESTIVO Y CAVIDAD ABDOMINAL",CELDA VACÍA,
340401,"SIALOGRAFIA, POR GLANDULA Y POR LADO              ",1-340401,SIALOGRAFIA  POR GLANDULA Y POR LADO                 
340402,"ESOFAGO, ESTUDIO RADIOLOGICO SERIADO              ",1-340402,ESOFAGO  ESTUDIO RADIOLOGICO SERIADO                 
340403,"ESTOMAGO Y DUODENO, ESTUDIO SERIADO.              ",1-340403,ESTOMAGO Y DUODENO  ESTUDIO SERIADO.                 
340404,ESTOMAGO Y DUODENO TECNICA SERIADA DOBLE CONTRASTE              ,1-340404,ESTOMAGO Y DUODENO TECNICA DOB.CONTR                  
340405,ESTUDIO RX SERIADO ESOFAGOGASTRODUODENAL            ,1-340405,ESTUDIO SERIADO ESOFAGOGASTRODUODENA                  
340406,DUODENOGRAFIA HIPOTONICA POR ESTUDIO              ,1-340406,DUODENOGRAFIA HIPOTONICA POR ESTUDIO                  
340407,TRANSITO DE INTESTINO DELGADO  O COLON  ,1-340407,TRANSITO DE INTESTINO DELGADO                         
340408,EST.RADIOLOGICO SERIADO ILEOCECOAPENDICULAR              ,1-340408,EST.RADIOLOGICO SERIADO ILEOCECOAPEN                  
340409,RX COLON POR ENEMA Y EVACUADO (MINIMO 3 PLACAS) A    ,1-340409,COLON POR ENEMA Y EVACUADO (MINIMO 3 PLACAS) A        
340410,RX COLON POR ENEMA Y EVACUADO (MINIMO 5 PLACAS) C    ,1-340410,COLON POR ENEMA Y EVACUADO (MINIMO 5 PLACAS) C        
340411,"COLON POR ENEMA, EVACUADO E INSUFLADO (6 PLACAS) C",1-340411,COLON POR ENEMA  EVACUADO E INSUFLADO (6 PLACAS) C   
340412,"COLON POR ENEMA,EVACUADO Y DOBLE CONTRASTE. C     ",1-340412,COLON POR ENEMA EVACUADO Y DOBLE CONTRASTE. C        
340413,"COLECISTOGRAFIA ORAL, INCLUYE PRUEBA EVACUACION (3 PLACAS) B",1-340413,COLECISTOGRAFIA ORAL  INCLUYE PRUEBA EVACUACION. B   
340414,"COLECISTOGRAFIA ENDOVENOSA, INCLUYE PRUEBA EVACUACION (5 PLACAS)                      ",1-340414,COLECISTOGRAFIA ENDOVENOSA                            
340415,COLANGIOGRAFIA ENDOVENOSA P/ESTUDIO (5 PLACAS)            ,1-340415,COLANGIOGRAFIA ENDOVENOSA P/ESTUDIO                   
340416,COLANGIOGRAFIA OPERATORIA- 1RA.                       ,1-340416,COLANGIOG. OPERATORIA- 1RA.                           
340417,COLANGIOGRAFIA OPERATORIA- SUBSIG.                    ,1-340417,COLANGIOG. OPERATORIA- SUBSIG.                        
340418,"FISTULOCOLANGIOGRAFIA, COLANGIOGRAFIA POSOPERATORIA             ",1-340418,FISTULOCOLANGIOGRAFIA COLANGIOGRAFIA                 
340419,COLANGIOGRAFIA RETROGRADA POR FIBROSCOPIA              ,1-340419,COLANGIOGRA.RETROGRADA P/FIBROSCOPIA                  
340420,"NEUMOPERITONEOGRAFIA, RETRONEUMOPERITONEOGRAFIA            ",1-340420,NEUMOPERITONEOGRAFIA RETRONEUMOPERIT                 
340421,RADIOGRAFIA SIMPLE DE ABDOMEN.                    ,1-340421,RADIOGRAFIA SIMPLE DE ABDOMEN.                        
340422,RADIOGRAFIA ABDOMEN POR EXPOSICION SUBSIGUIENTE. A,1-340422,RADIOGRAFIA ABDOMEN POR EXPOSICION SUBSIGUIENTE. A    
340423,ESTUDIO DE LA DEGLUCION Y DINAMICA DE LA,7-349013,MODULO DE ESTUDIO DE DEGLUCION Y SGD                  
34.05,APARATO URINARIO,CELDA VACÍA,
340501,RADIOGRAFIA SIMPLE DE ARBOL URINARIO              ,1-340501,RADIOGRAFIA SIMPLE DE ARBOL URINARIO                  
340502,UROGRAMA EXCRETOR PIRLOGRAFIA DESCENDENTE,1-340502,UROGRAMA EXCRETOR PIRLOGRAFIA DESCEN                  
340503,UROGRAMA EXCRETOR CON ESTUDIO VESICAL PRE Y POST MICCIONAL,1-340503,UROGRAMA EXCRETOR CON ESTUDIO VESICAL                 
340504,UROGRAMA MINUTADO POR GOTEO ENDOVENOSO PIELOGRAFIA POR PERFUSION                    ,1-340504,UROGRAMA POR GOTEO ENDOVENOSO                         
340505,PIELOGRAFIA ASCENDENTE                            ,1-340505,PIELOGRAFIA ASCENDENTE                                
340506,PIELOGRAFIA POR EXPOSICION SUBSIGUIENTE. B        ,1-340506,PIELOGRAFIA POR EXPOSICION SUBSIGUIENTE. B            
340507,CISTOURETROGRAFIA MICCIONAL CISTOURETROGRAFIA ASCENDENTE                      ,1-340507,CISTOURETROGRAFIA MICCIONAL                           
340508,CISTOURETROGRAFIA P/ESTUDIO DE INCONTINENCIA      ,1-340508,CISTOURETROGRAFIA P/ESTUDIO DE INCONTINENCIA          
340509,PENEGRAFÍA,7-345012,PENEGRAFIA
340510,DEFERENTO VESICULOGRAFIA                          ,,
34.06,APARATO GENITAL FEMENINO Y MAMAS,CELDA VACÍA,
340601,MAMOGRAFIA -SENOGRAFIA-                           ,1-340601,MAMOGRAFIA -SENOGRAFIA-                               
340602,"MAMOGRAFIA, PROYECCION AXILAR                     ",1-340602,MAMOGRAFIA  PROYECCION AXILAR                        
340603,GALACTOGRAFIA -CON O SIN MAMOGRAFO-               ,1-340603,GALACTOGRAFIA -CON O SIN MAMOGRAFO-                   
340604,HISTEROSALPINGOGRAFIA CON PRUEBA DE COTTE                 ,1-340604,HISTEROSALPINGOGRAFIA C/PRU.COTTE                     
340605,PELVINEUMOGRAFIA                                  ,1-340605,PELVINEUMOGRAFIA                                      
340606,GINECOGRAFIA                                      ,1-340606,GINECOGRAFIA                                          
340607,PELVIMETRIA RADIOLOGICA POR ESTUDIO (MINIMO 2 PLACAS)       ,1-340607,PELVIMETRIA RADIOLOGICA POR ESTUDIO.                  
340608,"RADIOGRAFIA DEL EMBARAZO, DIRECTA DE ABDOMEN                    ",1-340608,RADIOGRAFIA DEL EMBARAZO                              
340611,MAMOGRAFIA MAGNIFICADA                            ,7-345002,MAMOGRAFIA MAGNIFICADA                                
340612,MAMOGRAFIA DIGITAL  -ALTA RESOLUCION-,7-345035,MAMOGRAFIA DIGITAL BILATERAL                          
340613,TOMOSINTESIS MAMARIA                                     ,7-345007,TOMOSINTESIS                                          
340614,PUNCIÓN MAMARIA BAJO CONTROL MAMOGRÁFICO,,
34.07,NEURORRADIOLOGIA,CELDA VACÍA,
340701,SINUSOGRAFIA POR CATETERISMO                      ,1-340701,SINUSOGRAFIA POR CATETERISMO                          
340703,ARTERIOGRAFIA CEREBRAL POR CATETERISMO              ,1-340703,ARTERIOGRAFIA CEREBRAL POR CATETERIS                  
34.08,ANGIOCARDIORRADIOLOGIA,CELDA VACÍA,
340801,CONTROL RADIOSCOPICO PARA COLOCACION DE MARCAPASO TRANSITORIO  ,1-340801,CONTROL RADIOSCOPICO-COLOC.MARCAPASO TRANSITORIO      
340802,CONTROL RADIOSCOPICO PARA COLOCACION DE MARCAPASO DEFINITIVO,1-340802,CONTROL RADIOSCOPICO-COLOC.MARCAPASO DEFINITIVO       
340803,CONTROL RADIOSCOPICO PARA CATETERISMO DERECHO Y/O IZQUIERDO           ,1-340803,CONTROL RADIOSCOPICO PARA CATETERISM                  
340804,CARDIOGRAFIA O ANGIOCARDIOGRAFIA                   ,1-340804,CARDOGRAFIA O ANGIOCARDIOGRAFIA                       
340805,"CORONARIOGRAFIA, INCLUYE VENTRICULOGRAFIA           ",1-340805,CORONARIOGRAFIA  INCLUYE VENTRICULOG                 
340806,INVESTIGACION DE FISTULAS VASCULARES PULMONARES   ,1-340806,INVESTIGACION DE FISTULAS VASCULARES PULMONARES       
340807,PANARTERIOGRAFIA DEL CAYADO AORTICO Y VASOS DEL CUELLO POR CATETERISMO            ,1-340807,PANARTERIOGRAFIA DEL CAYADO AORTICO                   
340808,"AORTOGRAFIA POR PUNCION LUMBAR, PRIMERA EXPOSICION. B ",1-340808,AORTOGRAFIA PUNCION LUMBAR  PRIMERA EXPOSICION. B    
340809,"AORTOGRAFIA POR PUNCION LUMBAR, POR CADA EXPOSICION SUBSIGUIENTE. HASTA 4  EXPOSICIONES",1-340809,AORTOGRAFIA PUNCION LUMBAR EXPOS.SUBSIG. HASTA 4     
340810,ARTERIOGRAFIA DE ARTERIAS MEDULARES Y/O INTERCOSTALES ,1-340810,ARTERIOGRAFIA DE ARTERIAS MEDULARES-INTERCOSTALES     
340811,ARTERIOGRAFIA SELECTIVA DE RAMAS DE AORTA ABDOMINAL  ,1-340811,ARTERIOGRAFIA SELECTIVA RAMAS DE AORTA ABDOMINAL      
340812,ARTERIOGRAFIAS PERIFERICAS MIEMBROS POR PUNCION    ,1-340812,ARTERIOGRAFIAS PERIFERICA MIEMBROS POR PUNCION        
340813,ARTERIOGRAFIAS PERIFERICAS POR PUNCION -EXPOSICION SUBSIGUIENTE-   ,1-340813,ARTERIOGRAFIAS PERIFERICA-PUNCION-EXPOS.SUBSIG.       
340814,CAVOGRAFIA -PRIMERA EXPOSICION-.                  ,1-340814,CAVOGRAFIA -PRIMERA EXPOSICION-.                      
340815,CAVOGRAFIA POR CADA EXPOSICION SUBSIGUIENTE              ,1-340815,CAVOGRAFIA -POR CADA EXPOSICION SUBS                  
340816,ESPLENOPORTOGRAFIA POR PUNCION ESPLENICA              ,1-340816,ESPLENOPORTOGRAFIA PUNCION ESPLENICA                  
340817,ESPLENOPORTOGRAFIA POR CADA EXPOSICION SUBSIGUIENTE          ,1-340817,ESPLENOPORTOGRAFIA POR CADA EXPOSICI                  
340818,FLEBOGRAFIA SELECTIVA DE AFLUENTES ABDOMINALES O TORACICO DE LA VENA CAVA  ,1-340818,FLEBOGRAFIA AFLUENTES ABDOM. TORACICOS VENA CAVA      
340819,FLEBOGRAFIA SELECTIVA DE AFLUENTES ABDOMINALES O TORACICO DE LA VENA CAVA POR EXPOSICION SUBSIGUIENTE,1-340819,FLEBOGRAFIA AFLUENTES ABDOM. TORACICOS VENA CAVA      
340820,FLEBOGRAFIA DE MIEMBROS SUPERIORES O INFERIORES              ,1-340820,FLEBOGRAFIA DE MIEMBROS SUPERIORES                    
340821,FLEBOGRAFIA DE MIEMBROS SUPERIORES O INFERIORES POR EXPOSICION SUBSIGUIENTE  ,1-340821,FLEBOGRAFIA DE MIEMBROS SUPERIORES-EXPOS.SUBSIG.      
340822,LINFOGRAFIA POR EXPOSICION. B                     ,1-340822,LINFOGRAFIA POR EXPOSICION. B                         
34.09,TOMOGRAFIA-CINERADIOLOGIA-RX EN QUIROFANO Y DOMICILIO,CELDA VACÍA,
340901,TOMOGRAFIA LINEAL                                 ,1-340901,TOMOGRAFIA LINEAL                                     
340902,TOMOGRAFIA HIPOCICLOIDAL POLITOMOGRAFIA           ,1-340902,TOMOGRAFIA HIPOCICLOIDAL POLITOMOGRAFIA               
340903,"FISTULOGRAFIA, ESTUDIO COMPLETO                   ",1-340903,FISTULOGRAFIA  ESTUDIO COMPLETO                      
340904,DACRIOCISTOGRAFIA -MINIMO 3 PLACAS-               ,1-340904,DACRIOCISTOGRAFIA -MINIMO 3 PLACAS-                   
340905,RADIOGRAFIA EN QUIROFANO O HABITACION               ,1-340905,RADIOGRAFIA EN QUIROFANO/HABITACION                   
340906,RADIOGRAFIA EN QUIROFANO O HABITACION EXPOSICIONES SUBSIGUIENTES ,1-340906,RADIOGRAFIA EN QUIROFANO/HABITACION-EXPOS.SUBSIG.     
340907,RADIOSCOPIA EN QUIROFANO CON AMPLIFICADORES DE IMAGENES  ,1-340907,RADIOSCOPIA EN QUIROFANO-AMPLIFICADORES IMAGENES      
340908,RADIOGRAFIA A DOMICILIO                           ,1-340908,RADIOGRAFIA A DOMICILIO                               
340909,RADIOGRAFIA A DOMICILIO EXPOSICION SUBSIGUIENTE        ,1-340909,RADIOGRAFIA A DOMICILIO-EXPOS.SUBSIGUIENTE            
34.10,TOMOGRAFIA AXIAL COMPUTADA,CELDA VACÍA,
341001,TOMOGRAFIA AXIAL COMPUTADA CEREBRAL                               ,1-341001,T.A.C. CEREBRAL. I                                    
341002,TOMOGRAFIA AXIAL COMPUTADA CEREBRAL  REFORZADA                             ,1-341002,T.A.C. CEREBRAL REFORZADA. I                          
341003,TOMOGRAFIA AXIAL COMPUTADA CEREBRAL  DE CONTROL                        ,1-341003,T.A.C. CEREBRAL DE CONTROL. I                         
341004,TOMOGRAFIA AXIAL COMPUTADA OFTALMOLOGICA        ,1-341004,T.A.C. OFTALMOLOGICA. I                               
341005,TOMOGRAFIA AXIAL COMPUTADA TIROIDEA,1-341005,T.A.C. TIROIDEA. I                                    
341006,TOMOGRAFIA AXIAL COMPUTADA MAMARIA,1-341006,T.A.C. MAMARIA. I                                     
341007,TOMOGRAFIA AXIAL COMPUTADA GINECOLOGICA,1-341007,T.A.C. GINECOLOGIA. I                                 
341008,TOMOGRAFIA AXIAL COMPUTADA COMPLETA DE ABDOMEN,1-341008,T.A.C. COMPLETA DE ABDOMEN. I                         
341009,"TOMOGRAFIA AXIAL COMPUTADA HEPATOBILIAR, ESPLENICA, PANCREATICA",1-341009,T.A.C. HEPATOBILIAR  ESPLENICA ETC                  
341010,TOMOGRAFIA AXIAL COMPUTADA TORACICA,1-341010,T.A.C. TORACICA.                                      
341011,TOMOGRAFIA AXIAL COMPUTADA VEJIGA Y PROSTATA,1-341011,T.A.C. VEJIGA Y PROSTATA.                             
341012,TOMOGRAFIA AXIAL COMPUTADA DE OTROS ORGANOS Y REGIONES,1-341012,T.A.C. DE OTROS ORGANOS O REGIONES.                   
341013,TOMOGRAFIA AXIAL COMPUTADA DE COLUMNA,1-341013,T.A.C. DE COLUMNA                                     
341014,ENTEROTOMOGRAFIA,,
341014,ENTEROTOMOGRAFIA,7-347028,ENTEROGRAFIA POR TC C/RECONSTRUCCION 3D (I. DELGA)
341015,UROTOMOGRAFIA COMPUTADA,,
341016,TAC PIELO TAC - 1 TERRITORIO / PIELO TAC                ,7-347054,TAC PIELO TAC - 1 TERRITORIO                          
341017,TOMOGRAFIA COHERENCIA OPTICA - OCT,7-305039,TOMOGRAFIA DE COHERENCIA OPTICA - UNILATERAL          
,341017,7-305040,OCT (TTO.DE COHERENCIA OPTICA) BILATERAL          
341018,ANGIOTOMOGRAFIA CEREBRO / VASOS DEL CUELLO 2 O MAS      ,7-345006,ANGIO TAC CEREBRO / VASOS DEL CUELLO 2 O MAS          
341019,TOMOGRAFIA CON RECONSTRUCCION EN 3D,7-347029,T.C. C/RECONSTRUCCION 3D / MULTIPLANAR                
341019,TOMOGRAFIA CON RECONSTRUCCION EN 3D,7-345008,ANGIOTOMOGRAFIA                                   
341020,TOMOGRAFÍA HELICOIDAL,7-347001,TAC HELICOIDAL                                        
341020,TOMOGRAFÍA HELICOIDAL,7-347046,TAC MULTISLICE OTRAS REGIONES
341021,TOMOGRAFIA MULTICORTE (MULTISLICE),,
341022,P.E.T. CUERPO ENTERO  (PET CT)                            ,7-345025,P.E.T. CUERPO ENTERO                                  
341023,BLOQUEO DE PLEXOS NERVIOSOS BAJO TAC,7-349901,BLOQUEO DE PLEXOS NERVIOSOS BAJO TAC                  
341024,PUNCION BIOPSIA BAJO T.A.C.,7-347053,BIOPSIA/ PUNCION / INFILTRACION GUIADA BAJO TAC       
341025,DRENAJE DE COLECCIONES CON GUIA TOMOGRAFICA,,
341101,MARCACION MAMARIA PREQUIRURGICA                   ,7-341101,MARCACION MAMARIA PREQUIRURGICA                       
341201,DENSITOMETRIA OSEA                                ,7-341201,DENSITOMETRIA OSEA                                    
341201,DENSITOMETRIA OSEA                                ,7-347020,DENSITOMETRIA OSEA : CUERPO ENTERO
341301,DOSIMETRIA COMPUTADA                              ,7-349701,DOSIMETRIA COMPUTADA                                  
,341301,7-349702,DOSIMETRIA OSEA                                   
34.20,RESONANCIA MAGNETICA NUCLEAR,CELDA VACÍA,
342001,RESONANCIA MAGNETICA NUCLEAR CEREBRAL             ,1-342001,RESONANCIA MAGNETICA NUCLEAR CEREBRAL                 
342002,RESONANCIA MAGNETICA NUCLEAR CEREBRAL C/GADOLINIO ,1-342002,RESONANCIA MAGNETICA NUCLEAR CEREBRAL C/GADOLINIO     
342005,RESONANCIA MAGNETICA NUCLEAR TIROIDEA             ,1-342005,RESONANCIA MAGNETICA NUCLEAR TIROIDEA                 
342008,RESONANCIA MAGNETICA NUCLEAR COMPLETA DE ABDOMEN  ,1-342008,RESONANCIA MAGNETICA NUCLEAR COMPLETA DE ABDOMEN      
342009,RESONANCIA MAGNETICA NUCLEAR HEPATOBILIAR ESPLENICA PANCREATICA,1-342009,RESONANCIA MAGNETICA NUCLEAR HEPATOBILIAR ESP. PAM    
342010,RESONANCIA MAGNETICA NUCLEAR TORACICA             ,1-342010,RESONANCIA MAGNETICA NUCLEAR TORACICA                 
342011,RESONANCIA MAGNETICA NUCLEAR DE VEJIGA Y PROSTATA ,1-342011,RESONANCIA MAGNETICA NUCLEAR DE VEJIGA Y PROSTATA     
342012,RESONANCIA MAGNETICA NUCLEAR DE OTRAS REGIONES ENCEFALICAS,1-342012,RESONANCIA MAGNETICA NUCLEAR DE OTRAS REG.ENCEFALI    
